Alabama,AL,1819,Montgomery,155.4
Alaska,AK,1959,Juneau,2716.7
Arizona,AZ,1912,Phoenix,474.9
Arkansas,AR,1836,Little Rock,116.2
California,CA,1850,Sacramento,97.2
Colorado,CO,1876,Denver,153.4
Connecticut,CT,1788,Hartford,17.3
Delaware,DE,1787,Dover,22.4
Florida,FL,1845,Tallahassee,95.7
Georgia,GA,1788,Atlanta,131.7
Hawaii,HI,1959,Honolulu,85.7
Idaho,ID,1890,Boise,63.8
Illinois,IL,1818,Springfield,54
Indiana,IN,1816,Indianapolis,361.5
Iowa,IA,1846,Des Moines,75.8
Kansas,KS,1861,Topeka,56
Kentucky,KY,1792,Frankfort,14.7
Louisiana,LA,1812,Baton Rouge,76.8
Maine,ME,1820,Augusta,55.4
Maryland,MD,1788,Annapolis,6.73
Massachusetts,MA,1788,Boston,48.4
Michigan,MI,1837,Lansing,35
Minnesota,MN,1858,Saint Paul,52.8
Mississippi,MS,1817,Jackson,104.9
Missouri,MO,1821,Jefferson City,27.3
Montana,MT,1889,Helena,14
Nebraska,NE,1867,Lincoln,74.6
Nevada,NV,1864,Carson City,143.4
New Hampshire,NH,1788,Concord,64.3
New Jersey,NJ,1787,Trenton,7.66
New Mexico,NM,1912,Santa Fe,37.3
New York,NY,1788,Albany,21.4
North Carolina,NC,1789,Raleigh,114.6
North Dakota,ND,1889,Bismarck,26.9
Ohio,OH,1803,Columbus,210.3
Oklahoma,OK,1907,Oklahoma City,607
Oregon,OR,1859,Salem,45.7
Pennsylvania,PA,1787,Harrisburg,8.11
Rhode Island,RI,1790,Providence,18.5
South Carolina,SC,1788,Columbia,125.2
South Dakota,SD,1889,Pierre,13
Tennessee,TN,1796,Nashville,473.3
Texas,TX,1845,Austin,251.5
Utah,UT,1896,Salt Lake City,109.1
Vermont,VT,1791,Montpelier,10.2
Virginia,VA,1788,Richmond,60.1
Washington,WA,1889,Olympia,16.7
West Virginia,WV,1863,Charleston,31.6
Wisconsin,WI,1848,Madison,68.7
Wyoming,WY,1890,Cheyenne,21.1
